,frame_id,timer_sec,type,node_id,robot,x,y,z,length,width,height,heading_ang,heading_rad
0,0,1608793405.518526,VEHICLE,1233,False,2078.6525196722987,41662.200362946416,-3.7342807902099073,4.086945036088531,1.9045891870280718,0.0,0,0
1,1,1608793406.018628,VEHICLE,1233,False,2078.637714066342,41661.7885840575,-4.009158506535586,4.415370723137797,1.9700330429223314,0.0,-92.05919605486918,-1.6067360778964415
2,2,1608793406.518741,VEHICLE,1233,False,2078.1404041059013,41661.2268080563,-3.9606752357503603,4.194825944594365,1.938015860326061,0.0,-131.51673183240973,-2.2953999919379853
3,3,1608793407.019101,VEHICLE,1233,False,2077.718543460702,41660.69033989452,-3.8371041309458915,4.316766551799276,1.9671609031804005,0.0,-128.18032806241325,-2.237168760975595
4,4,1608793407.619709,VEHICLE,1233,False,2076.913301405242,41659.586208124776,-4.071239293990182,4.434383641203868,2.0090381689580497,0.0,-126.10322910944944,-2.2009165453566495
5,5,1608793408.217865,VEHICLE,1233,False,2076.1525536443633,41658.38146447607,-4.054449219070439,4.405219173359533,2.029326455553366,0.0,-122.27078365002755,-2.134027753686631
6,6,1608793408.817173,VEHICLE,1235,False,2075.308121226172,41656.75308413334,-4.065354418622933,4.335692137233131,1.9947764920038684,0.0,0,0
7,7,1608793409.416301,VEHICLE,1237,False,2074.0185178055335,41655.35410227031,-3.995786875554656,4.154738730518693,1.956601560896037,0.0,0,0
8,8,1608793410.017068,VEHICLE,1239,False,2072.8702094303444,41654.152896964995,-4.144124544746165,4.180499860250291,1.959679612556372,0.0,0,0
9,13,1608793412.718681,VEHICLE,1241,False,2066.5043058894043,41648.245461658866,-4.000593780273093,4.622584675668563,2.104469916374418,0.0,0,0
10,14,1608793413.316371,VEHICLE,1241,False,2065.0062659685036,41646.84589451869,-4.031548990546911,4.633969495266918,2.045890968985383,0.0,-136.9464006200182,-2.3901655895745217
11,15,1608793413.816385,VEHICLE,1241,False,2063.601095009346,41645.64488985161,-4.099252758702683,4.605778449526489,2.0656574895738493,0.0,-139.47936980145565,-2.4343742416421508
12,16,1608793414.316449,VEHICLE,1241,False,2062.507932481396,41644.46992413803,-4.005258624320218,4.479677689997104,2.077480716917556,0.0,-132.934443680168,-2.3201437315258993
13,17,1608793414.819255,VEHICLE,1242,False,2061.4433546322766,41643.27275009338,-3.9844348183546994,4.673597658058464,2.0976382809707332,0.0,0,0
14,18,1608793415.418787,VEHICLE,1242,False,2059.9539134965567,41641.74159992281,-4.014455882649245,4.674624207858451,2.0730080044434795,0.0,-134.20889668374463,-2.342387132600243
